"base_asset_id","alias_text","requires_crypto_context","record_id","date_utc","source_common_name","document_identifier","matched_surfaces","prior_candidate_context_anchor","page_title_sha256","econ_bitcoin_theme","strong_crypto_lexical","strong_anchor_terms","medium_crypto_lexical","medium_anchor_terms","other_asset_alias_count","other_asset_aliases","candidate_context_rule_strict","candidate_context_rule_broad"
"AAVE","Aave","False","20250401151500-1881","20250401151500","coinspeaker.com","https://www.coinspeaker.com/whales-selling-aave-price-dump-incoming/","PAGE_TITLE","True","4e35e3ca8a30dad5349cf37b765be2713455e1e9888d4bd579df1a889e554533","False","False","","True","price","0","","False","True"
"AAVE","Aave","False","20250402001500-592","20250402001500","insidebitcoins.com","https://insidebitcoins.com/sponsored/best-crypto-to-buy-right-now-april-1-aave-avalanche-chainlink","PAGE_TITLE","True","ca1b0b713e970fe71a6862e9b7cf44594c2efe604a0b56cf06dbdcb33abbd08f","True","True","crypto","False","","2","AVAX|LINK","True","True"
"AAVE","Aave","False","20250402141500-1619","20250402141500","biztoc.com","https://biztoc.com/x/eaefcb95ea0ba53e","PAGE_TITLE","True","13551dda5973a162779db08ab464dc0cceab3ea45f1f075ba59593530c1fe314","False","False","","False","","0","","False","False"
"AAVE","Aave","False","20250404140000-1416","20250404140000","biztoc.com","https://biztoc.com/x/a9658403de27ebb1","PAGE_TITLE","True","ebfe19c21b441bd7b77c79f96d51720701b255b36784e3ec39c7b6dce831f9f0","False","True","defi","True","chain","0","","True","True"
"AAVE","Aave","False","20250404164500-1054","20250404164500","coindesk.com","https://www.coindesk.com/business/2025/04/04/creators-of-defi-firm-aave-launch-social-media-developer-network-lens-chain","PAGE_TITLE","True","ebfe19c21b441bd7b77c79f96d51720701b255b36784e3ec39c7b6dce831f9f0","False","True","defi","True","chain","0","","True","True"
"AAVE","Aave","False","20250407150000-1347","20250407150000","coindesk.com","https://www.coindesk.com/markets/2025/04/07/usd100m-in-positions-at-risk-if-eth-slides-by-15","PAGE_TITLE","True","7cbe74fb53d749264b05b07237bbcbb0b70e543fd535ce8c5a67069058d3859e","False","False","","False","","0","","False","False"
"AAVE","Aave","False","20250409000000-785","20250409000000","insidebitcoins.com","https://insidebitcoins.com/sponsored/top-crypto-gainers-today-apr-8-pendle-aave-pancakeswap-movement","PAGE_TITLE","True","1bb65810b652e6558bbaac38ec84b4b68c56a54c8f13c0e773757dae975db9cb","True","True","crypto","False","","0","","True","True"
"AAVE","Aave","False","20250411100000-953","20250411100000","banklesstimes.com","https://www.banklesstimes.com/articles/2025/04/11/heres-why-eos-tezos-ethereum-aave-and-altcoins-are-crashing/","PAGE_TITLE","True","3450487205ca4ae78c59028d6e6c5776e7a5f631c8126468cb9011f8d858f263","False","True","altcoins","False","","2","EOS|XETH","True","True"
"AAVE","Aave","False","20250415123000-1077","20250415123000","modernreaders.com","https://www.modernreaders.com/news/2025/04/15/aave-aave-hits-1-day-trading-volume-of-205-16-million.html","PAGE_TITLE","True","d7fe3adf80c3b8a9a18a7ef843805b9ddb2fbed83eb112bd8cbd1b0381220ad0","True","False","","True","trading volume","0","","True","True"
"AAVE","Aave","False","20250415174500-349","20250415174500","statenews.com","https://statenews.com/article/2025/04/brilliance-is-not-determined-by-your-language-msu-professor-teaches-power-of-aave","PAGE_TITLE","True","890712fb3c6257f3eff92d3aaa30fd3c3ad00322b1422b857384c772ab1de7d6","False","False","","False","","0","","False","False"
"AAVE","Aave","False","20250416010000-472","20250416010000","insidebitcoins.com","https://insidebitcoins.com/sponsored/5-best-altcoins-to-buy-now-april-15-tron-gatetoken-vechain-aave","PAGE_TITLE","True","d0dd8d81ebb2c89073af508ba4bde98db71b80ba041464993dbf83d5944be4fc","True","True","altcoins","False","","1","TRX","True","True"
"AAVE","Aave","False","20250418140000-266","20250418140000","coinspeaker.com","https://www.coinspeaker.com/aave-kickstarts-buyback-program/","PAGE_TITLE","True","4209a9038fc6e877b12c3da88127c8faf54c625b65541067c4018fcfd9eb00a2","True","False","","True","price","0","","True","True"
"ADA","Cardano","False","20250401030000-768","20250401030000","jtv.com","https://www.jtv.com/product/18k-yellow-gold-over-bronze-3mm-cardano-24-inch-chain/MA609B","PAGE_TITLE","True","94be58318d79a0c832776492cc7d3dc5d86b476e113432da05ba8ff28121cd31","False","False","","True","chain","0","","False","True"
"ADA","Cardano","False","20250401084500-180","20250401084500","fxstreet.com","https://www.fxstreet.com/cryptocurrencies/news/cardano-price-today-ada-price-gains-alongside-increase-in-volume-202504010749","PAGE_TITLE","True","57200cccece6560e0179b892fa4f7bbfeca4a7a16574bfb97fe6040190c295fb","True","False","","True","price","0","","True","True"
"ADA","Cardano","False","20250401101500-489","20250401101500","coinspeaker.com","https://www.coinspeaker.com/charles-hoskinson-discusses-cardano-bitcoin-adoption-ada-soars/","PAGE_TITLE","True","ad4acd70615d7d7ca9bee7d9e0e5bebf9a6992fc21d189e6ca0df5e8a5d50667","True","False","","False","","1","XXBT","True","True"
"ADA","Cardano","False","20250401113000-1254","20250401113000","invezz.com","https://invezz.com/news/2025/04/01/altcoins-today-cardano-and-bnb-lead-recoveries-ahead-of-liberation-day/","PAGE_TITLE","True","429382b491a2b92e23ad81e9824b0fd2601287ecb7fe5c191d3612cebf8cc51b","True","True","altcoins","False","","0","","True","True"
"ADA","Cardano","False","20250401160000-86","20250401160000","cyprus-mail.com","https://cyprus-mail.com/2025/04/01/ai-detects-3-tokens-under-2-ready-to-skyrocket-says-one-is-a-potential-cardano-ada-replacement","PAGE_TITLE","True","74f7c1e23bd9fc0eaa6964621fa31e6ee4c9bf76880e4f8d1b6ac671e15ecef8","True","False","","True","tokens","0","","True","True"
"ADA","Cardano","False","20250401181500-170","20250401181500","newsbtc.com","https://www.newsbtc.com/news/cardano/whales-offload-200m-cardano-during-march-the-start-of-a-trend/","PAGE_TITLE","True","dffdb3715d10c1e96d9b0b3e34ef4361527557150aa6aa8e8fe45942998d5bef","False","False","","False","","0","","False","False"
"ADA","Cardano","False","20250401201500-1711","20250401201500","coinspeaker.com","https://www.coinspeaker.com/cardano-founder-talks-xrp-surprising-interview/","PAGE_TITLE","True","e534e4c75058c0abf2ae918184081e4debdff4c92f697958132ffdd0fae59c83","False","False","","False","","0","","False","False"
"ADA","Cardano","False","20250402084500-594","20250402084500","fxstreet.com","https://www.fxstreet.com/cryptocurrencies/news/cardano-price-today-ada-price-declines-alongside-decrease-in-volume-202504020638","PAGE_TITLE","True","dfe1cb009b15b30b18a148939a716eede2ca2268ceb096c1c94c4a7c111ae229","True","False","","True","price","0","","True","True"
"ADA","Cardano","False","20250402084500-745","20250402084500","fxstreet.com","https://www.fxstreet.com/cryptocurrencies/news/grayscale-files-s-3-form-for-digital-large-cap-etf-comprising-bitcoin-ethereum-xrp-solana-and-cardano-202504020506","PAGE_TITLE","True","3f6c80a7c280eb4d4f202001c6099798a5fd5fc5e85a3ed5f426067a8325fd18","True","False","","True","etf","3","SOL|XETH|XXBT","True","True"
"ADA","Cardano","False","20250402093000-1188","20250402093000","banklesstimes.com","https://www.banklesstimes.com/articles/2025/04/02/cardano-price-prediction-can-ada-hit-2-as-chain-fees-crash/","PAGE_TITLE","True","f047841f842b7978f011d43c1e439eda2442305c01b5a535a9ec0d1ee9578698","False","False","","True","chain|price","0","","False","True"
"ADA","Cardano","False","20250402110000-790","20250402110000","news.az","https://news.az/news/xrp-plunges-14-cardano-slides-12-is-the-smart-money-moving-into-solaxy-btcbull-and-other-best-crypto-presales","PAGE_TITLE","True","42ee2cc3687b902eb749208f79d26c2b34e02a32d6d067cb961ab5b244658e67","True","True","crypto","False","","0","","True","True"
"ADA","Cardano","False","20250402140000-425","20250402140000","cyprus-mail.com","https://cyprus-mail.com/2025/04/02/invest-in-cardano-ada-or-mutuum-finance-mutm-this-is-what-10000-in-ada-vs-mutm-could-be-worth-after-3-months","PAGE_TITLE","True","f082968fff19c07e64b39d851c4d01e8fdc1acd9b601a51e6200eb1336526931","True","False","","False","","0","","True","True"
"ALGO","Algorand","False","20250403101500-98","20250403101500","mondovisione.com","https://mondovisione.com/media-and-resources/news/quantoz-brings-european-regulated-stablecoins-eurq-and-usdq-to-algorand-202543/","PAGE_TITLE","True","31c86e67dff250d676c476ccde9047035a4c565fbbf1891e28d1965072f60a92","False","True","stablecoins","False","","0","","True","True"
"ALGO","Algorand","False","20250404204500-1312","20250404204500","insidebitcoins.com","https://insidebitcoins.com/sponsored/5-best-cheap-cryptocurrencies-to-buy-under-1-dollar-4-april-algorand-brett-arbitrum-cosmos","PAGE_TITLE","True","285662b1bb674cc3d0deebaedf78a1005fbd6c4fd69a1d52fd1c4cb85bc854ae","False","True","cryptocurrencies","False","","2","ARB|ATOM","True","True"
